Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,52.59,52.81,52.23,52.23,706400,49.7607
2015-12-30,53.01,53.26,52.48,52.59,2358400,50.1037
2015-12-29,52.67,53.10,52.46,53.10,3133900,50.5895
2015-12-28,53.23,53.40,52.21,52.36,2185600,49.8845
2015-12-25,53.30,53.30,53.30,53.30,000,50.7801
2015-12-24,53.55,53.77,53.14,53.30,437900,50.7801
2015-12-23,53.13,53.74,53.08,53.71,2682800,51.1707
2015-12-22,52.85,53.28,52.13,52.70,2196400,50.2085
2015-12-21,53.01,53.87,52.59,52.59,2842100,50.1037
2015-12-18,52.72,53.69,52.55,53.19,7213800,50.6753
2015-12-17,53.73,54.31,53.13,53.28,5717500,50.761
2015-12-16,52.76,53.02,51.94,52.48,2876600,49.9989
2015-12-15,50.74,52.66,50.70,52.45,4267600,49.9703
2015-12-14,51.65,52.17,50.15,50.28,3983300,47.9029
2015-12-11,52.11,52.27,51.00,51.29,3918900,48.8651
2015-12-10,52.00,52.80,51.70,52.27,3252600,49.7988
2015-12-09,53.08,53.48,52.10,52.18,3361600,49.713
2015-12-08,53.89,54.00,52.51,52.98,3484400,50.4752
2015-12-07,54.81,54.81,53.83,54.02,2696400,51.466
2015-12-04,54.04,54.49,53.22,53.87,4121000,51.3231
2015-12-03,55.88,57.06,54.19,54.33,6616100,51.7614
2015-12-02,56.57,56.77,55.58,55.94,2332100,53.2953
2015-12-01,56.37,56.88,56.10,56.28,2982600,53.6192
2015-11-30,56.00,56.68,55.72,56.11,2572200,53.4572
2015-11-27,55.70,56.48,55.61,56.02,1906100,53.3715
2015-11-26,55.08,56.27,54.97,55.89,2280400,53.2476
2015-11-25,55.10,55.35,54.28,55.07,3116200,52.4664
2015-11-24,54.95,55.23,54.18,54.96,2970700,52.3616
2015-11-23,55.36,55.66,54.93,55.36,2245000,52.7427
2015-11-20,56.55,56.68,55.13,55.44,4090700,52.8189
2015-11-19,56.75,57.32,56.28,56.47,2630300,53.8002
2015-11-18,56.28,56.62,55.78,56.19,2641800,53.5335
2015-11-17,55.85,56.69,55.69,56.51,3221000,53.8383
2015-11-16,55.10,55.85,54.88,55.50,3295400,52.8761
2015-11-13,56.22,57.00,55.41,56.14,2794700,53.4858
2015-11-12,57.15,57.55,56.34,56.50,2660400,53.8288
2015-11-11,57.00,57.68,56.71,57.27,2253500,54.5624
2015-11-10,57.46,57.46,56.27,56.85,2981700,54.1622
2015-11-09,57.81,58.17,57.02,57.05,2619400,54.3528
2015-11-06,56.05,57.95,55.96,57.61,4714800,54.8863
2015-11-05,55.94,56.62,55.40,55.87,3475600,53.2286
2015-11-04,55.65,56.25,55.35,55.64,3137100,53.0095
2015-11-03,55.27,55.59,54.69,55.31,3494300,52.6951
2015-11-02,54.88,55.78,54.74,55.35,2972100,52.7332
2015-10-30,56.00,56.31,54.74,55.26,4678600,52.6474
2015-10-29,56.29,56.40,53.66,54.30,4968400,51.7328
2015-10-28,55.61,55.97,55.35,55.81,3253300,53.1714
2015-10-27,55.65,56.00,55.45,55.47,2411200,52.8475
2015-10-26,55.78,56.31,55.32,55.85,2168500,53.2095
2015-10-23,55.40,56.43,55.18,55.91,4757400,53.2667
2015-10-22,54.07,55.34,53.81,55.01,4590500,52.4092
2015-10-21,54.42,54.63,53.66,54.40,2043600,51.8281
2015-10-20,55.00,55.33,54.03,54.30,2267900,51.7328
2015-10-19,54.97,55.61,54.60,55.09,1917600,52.4855
2015-10-16,54.30,55.13,54.12,54.99,3069600,52.3902
2015-10-15,53.81,54.14,53.61,53.97,2310700,51.4184
2015-10-14,53.00,53.88,52.85,53.12,2470900,50.6086
2015-10-13,53.78,53.96,52.52,53.38,2602000,50.8563
2015-10-12,53.91,54.25,53.36,53.97,2305000,51.4184
2015-10-09,54.00,54.62,53.60,53.81,2372600,51.266
2015-10-08,53.77,54.02,53.19,53.45,3062600,50.923
2015-10-07,54.60,54.90,53.77,54.05,3362000,51.4946
2015-10-06,54.20,54.42,53.39,54.08,3125200,51.5232
2015-10-05,52.99,54.11,52.77,54.01,4225500,51.4565
2015-10-02,52.35,53.05,51.18,51.92,3298000,49.4653
2015-10-01,53.39,53.40,51.52,51.72,4145200,49.2748
2015-09-30,52.17,52.78,51.86,52.46,4151600,49.9798
2015-09-29,49.95,51.42,49.575,50.90,4371400,48.4936
2015-09-28,52.40,52.40,50.33,50.52,3881200,48.1315
2015-09-25,51.91,52.88,51.68,52.55,4285500,50.0655
2015-09-24,51.21,51.78,50.34,50.92,5259200,48.5126
2015-09-23,51.72,52.26,51.15,51.15,4299000,48.7317
2015-09-22,53.75,53.98,51.61,51.87,4084800,49.4177
2015-09-21,52.82,54.02,52.74,53.69,2992900,51.1516
2015-09-18,55.11,55.24,52.62,52.98,9412500,50.4752
2015-09-17,55.37,55.92,55.08,55.65,3110500,53.019
2015-09-16,55.51,55.80,54.97,55.25,2898200,52.6379
2015-09-15,54.74,55.54,54.21,55.08,2485300,52.4759
2015-09-14,55.88,56.00,54.40,54.57,3290200,51.99
2015-09-11,56.08,56.09,55.04,55.24,2489000,52.6284
2015-09-10,55.93,56.51,55.36,55.59,2946600,52.9618
2015-09-09,57.15,57.41,56.41,56.45,3355200,53.7812
2015-09-08,54.85,56.09,54.84,55.55,3181600,52.9237
2015-09-07,54.81,55.20,54.15,54.50,1846300,51.9234
2015-09-04,55.46,55.69,54.00,54.49,3675100,51.9138
2015-09-03,55.48,56.65,55.21,56.12,3435000,53.4668
2015-09-02,54.76,55.77,54.38,54.88,3260000,52.2854
2015-09-01,55.54,55.73,54.03,54.61,3776300,52.0282
2015-08-31,56.21,56.57,55.67,56.27,2545300,53.6097
2015-08-28,56.54,56.74,56.04,56.65,2430300,53.9717
2015-08-27,56.53,57.06,56.07,56.55,4466800,53.8764
2015-08-26,55.08,55.91,54.03,55.07,5192100,52.4664
2015-08-25,54.13,55.98,53.78,55.49,8126200,52.8665
2015-08-24,52.99,54.81,50.62,52.85,12665300,50.3514
2015-08-21,56.61,57.70,55.58,55.58,6389300,52.9523
2015-08-20,58.82,59.40,57.50,57.82,5649200,55.0864
2015-08-19,58.90,60.00,58.67,58.94,3772300,56.1534
2015-08-18,59.00,59.87,58.74,59.34,2400400,56.5345
2015-08-17,58.45,59.31,58.18,59.12,4317200,56.3249
2015-08-14,58.79,59.26,57.79,58.15,2272700,55.4008
2015-08-13,58.93,59.30,58.54,58.69,3115600,55.9153
2015-08-12,59.12,59.17,57.46,57.93,5382600,55.1912
2015-08-11,60.21,60.36,59.45,59.64,2915400,56.8203
2015-08-10,60.53,60.63,59.88,60.45,2125700,57.5921
2015-08-07,60.66,61.00,60.16,60.25,2645300,57.4015
2015-08-06,60.42,60.93,60.15,60.68,3366900,57.8112
2015-08-05,60.00,60.54,59.90,60.45,4842300,57.5921
2015-08-04,59.40,59.87,58.62,59.76,3832700,56.9347
2015-08-03,58.86,59.80,58.84,59.55,4380900,56.7346
2015-07-31,58.90,59.75,58.79,59.31,7476400,56.5059
2015-07-30,56.75,57.73,56.43,57.66,4702600,54.934
2015-07-29,56.92,56.98,55.98,56.23,3264000,53.5716
2015-07-28,56.07,56.93,55.88,56.76,2514600,54.0765
2015-07-27,57.08,57.09,55.66,55.71,4323400,53.0761
2015-07-24,56.94,57.51,56.73,57.21,3230900,54.5052
2015-07-23,57.35,57.45,56.82,57.09,2180200,54.3909
2015-07-22,56.76,57.30,56.46,56.85,2489100,54.1622
2015-07-21,57.63,57.80,56.72,57.05,2617300,54.3528
2015-07-20,57.35,57.82,57.16,57.45,3008200,54.7339
2015-07-17,57.77,57.81,57.12,57.31,3034500,54.6005
2015-07-16,56.74,57.74,56.66,57.55,5082400,54.8292
2015-07-15,56.24,56.74,56.17,56.29,3335500,53.6287
2015-07-14,55.97,56.39,55.46,56.36,2598400,53.6954
2015-07-13,55.58,56.18,55.14,55.77,4816300,53.1333
2015-07-10,54.74,55.28,53.97,54.49,6542200,51.9138
2015-07-09,51.55,52.74,51.40,52.38,5129000,49.9036
2015-07-08,50.42,51.68,50.25,50.93,5806800,48.5221
2015-07-07,52.30,52.35,50.39,50.50,6073900,48.1125
2015-07-06,53.02,53.34,51.62,51.97,6622300,49.513
2015-07-03,54.63,54.77,53.93,54.27,3626200,51.7042
2015-07-02,55.79,55.90,54.57,54.71,3194900,52.1234
2015-07-01,54.84,56.49,54.43,55.37,6084400,52.7522
2015-06-30,54.50,55.67,53.93,54.15,6608500,51.5899
2015-06-29,54.00,55.43,53.30,54.81,8088500,52.2187
2015-06-26,56.91,58.00,56.38,57.63,4038400,54.9054
2015-06-25,56.28,57.84,56.24,57.03,5399900,54.3337
2015-06-24,57.49,57.66,56.07,56.86,5275300,54.1718
2015-06-23,56.89,57.65,56.58,57.36,4673600,54.6481
2015-06-22,55.43,56.64,54.93,56.32,6507300,53.6573
2015-06-19,53.32,54.15,53.01,53.61,5835800,51.0754
2015-06-18,53.10,53.42,52.37,53.08,5120300,50.5705
2015-06-17,53.89,54.12,53.08,53.14,3467100,50.6277
2015-06-16,53.56,54.08,52.79,53.67,4399700,51.1326
2015-06-15,54.41,54.94,53.51,53.96,3941500,51.4089
2015-06-12,55.90,56.18,54.52,55.30,3552400,52.6855
2015-06-11,55.32,56.59,55.19,56.02,3587400,53.3715
2015-06-10,54.16,56.05,53.94,55.56,3721300,52.9332
2015-06-09,54.50,55.01,53.64,54.39,4322700,51.8186
2015-06-08,55.13,55.69,54.63,54.63,3205600,52.0472
2015-06-05,55.80,56.09,54.75,55.30,4914700,52.6855
2015-06-04,56.42,57.05,55.39,56.34,4377000,53.6764
2015-06-03,55.60,57.00,55.60,56.77,5783800,54.086
2015-06-02,55.19,56.11,54.45,55.53,4155800,52.9047
2015-06-01,55.03,55.37,54.42,54.85,3236800,52.2568
2015-05-29,56.06,56.31,54.81,54.93,4481200,52.333
2015-05-28,56.21,56.54,55.54,56.15,2358900,53.4953
2015-05-27,55.85,56.82,55.54,56.47,4190200,53.8002
2015-05-26,56.30,56.52,55.27,55.57,3275900,52.9428
2015-05-25,56.53,56.55,55.90,56.23,837500,53.5716
2015-05-22,56.58,57.10,56.33,57.01,3153700,54.3147
2015-05-21,56.84,56.84,56.05,56.47,2614800,53.8002
2015-05-20,56.00,56.90,55.82,56.85,4113700,54.1622
2015-05-19,56.87,57.85,56.79,57.41,3930300,53.2667
2015-05-18,56.70,57.00,55.50,56.65,4135600,52.5615
2015-05-15,57.34,57.82,56.31,56.74,4304300,52.645
2015-05-14,55.96,57.11,55.31,56.90,2670300,52.7935
2015-05-13,56.27,56.98,55.81,55.99,4042200,51.9492
2015-05-12,56.28,56.54,55.61,56.11,4207000,52.0605
2015-05-11,57.23,57.35,56.59,56.86,2863600,52.7564
2015-05-08,56.80,57.42,56.04,57.41,3926500,53.2667
2015-05-07,55.66,56.58,54.83,56.35,5145900,52.2832
2015-05-06,55.35,56.28,54.97,56.03,5721300,51.9863
2015-05-05,56.60,57.43,54.92,55.04,5864200,51.0677
2015-05-04,57.03,57.05,55.76,56.75,3729900,52.6543
2015-05-01,56.44,56.44,56.44,56.44,000,52.3667
2015-04-30,57.06,57.48,55.39,56.44,7149500,52.3667
2015-04-29,58.75,59.00,57.23,57.35,5588000,53.211
2015-04-28,58.87,58.90,57.93,58.61,4425000,54.3801
2015-04-27,59.69,59.69,58.02,59.17,4648500,54.8997
2015-04-24,58.32,59.18,58.20,58.99,5607100,54.7327
