Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,40.155,40.265,39.845,39.85,296400,38.609
2015-12-30,40.21,40.41,39.93,40.185,830300,38.934
2015-12-29,39.75,40.355,39.75,40.21,925700,38.958
2015-12-28,40.00,40.20,39.28,39.49,606900,38.26
2015-12-25,39.865,39.865,39.865,39.865,000,38.624
2015-12-24,39.65,39.98,39.575,39.865,282600,38.624
2015-12-23,39.35,40.09,39.35,39.965,1090400,38.721
2015-12-22,39.22,39.48,38.655,39.00,1078100,37.786
2015-12-21,39.305,40.155,39.00,39.00,1453400,37.786
2015-12-18,39.295,39.835,39.055,39.39,4005200,38.164
2015-12-17,40.20,40.415,39.70,39.70,2378600,38.464
2015-12-16,39.405,39.84,39.10,39.305,2484600,38.081
2015-12-15,38.37,39.445,38.12,39.285,3050800,38.062
2015-12-14,38.82,39.35,37.985,38.08,2011100,36.894
2015-12-11,38.72,38.81,37.825,38.545,2691500,37.345
2015-12-10,38.65,39.195,38.405,38.715,1975900,37.51
2015-12-09,39.70,39.985,38.66,38.835,2579400,37.626
2015-12-08,40.35,40.44,39.27,39.595,2121800,38.362
2015-12-07,40.00,40.80,39.845,40.39,1659200,39.132
2015-12-04,39.40,39.99,39.175,39.81,2320800,38.57
2015-12-03,41.325,42.115,39.55,39.67,3584200,38.435
2015-12-02,41.29,41.63,40.91,41.325,1301500,40.038
2015-12-01,41.995,42.06,41.005,41.125,2307200,39.845
2015-11-30,41.25,41.995,41.185,41.83,1649800,40.528
2015-11-27,41.395,41.77,41.14,41.295,1024400,40.009
2015-11-26,40.54,41.755,40.525,41.575,1298300,40.281
2015-11-25,40.28,40.94,40.085,40.64,1411300,39.375
2015-11-24,40.50,40.505,39.65,40.15,1527400,38.90
2015-11-23,41.00,41.045,40.535,40.675,1169600,39.409
2015-11-20,41.075,41.265,40.52,41.01,1541800,39.733
2015-11-19,40.60,41.19,40.60,40.905,1586000,39.631
2015-11-18,40.055,40.465,39.88,40.31,1199600,39.055
2015-11-17,39.45,40.465,39.365,40.345,1665700,39.089
2015-11-16,38.39,39.22,38.355,39.08,1166500,37.863
2015-11-13,38.83,39.02,38.215,38.78,1773200,37.573
2015-11-12,39.43,39.905,38.805,38.855,1326400,37.645
2015-11-11,39.40,39.915,39.345,39.61,1125400,38.377
2015-11-10,39.92,39.98,39.05,39.29,2106900,38.067
2015-11-09,40.65,40.825,39.745,39.83,2048700,38.59
2015-11-06,39.33,40.88,39.265,40.59,2897100,39.326
2015-11-05,39.035,39.68,38.685,39.215,1771600,37.994
2015-11-04,39.375,39.80,38.89,38.89,2085700,37.679
2015-11-03,39.105,39.52,38.945,39.15,2173400,37.931
2015-11-02,37.635,39.115,37.585,38.935,3114500,37.723
2015-10-30,37.59,38.23,37.51,38.18,3160600,36.991
2015-10-29,37.59,37.725,36.87,37.50,4884200,36.332
2015-10-28,38.685,39.61,38.49,39.43,1781400,38.202
2015-10-27,39.05,39.325,38.56,38.56,1464100,37.359
2015-10-26,39.41,39.42,38.67,39.14,1634700,37.921
2015-10-23,38.36,39.995,38.315,39.575,3419400,38.343
2015-10-22,37.36,38.22,36.80,38.035,2975000,36.851
2015-10-21,36.935,37.79,36.54,37.54,2586000,36.371
2015-10-20,37.735,37.90,36.925,37.08,3181400,35.925
2015-10-19,38.395,38.94,38.21,38.355,1017100,37.161
2015-10-16,39.33,39.33,38.315,38.57,2032800,37.369
2015-10-15,38.925,39.37,38.625,39.04,1815300,37.824
2015-10-14,38.81,38.94,38.255,38.585,2243600,37.384
2015-10-13,39.02,39.275,38.45,39.075,2302900,37.858
2015-10-12,39.68,39.905,39.035,39.175,2042900,37.955
2015-10-09,40.72,40.72,39.62,39.635,2836700,38.401
2015-10-08,40.595,40.87,40.11,40.305,2697600,39.05
2015-10-07,40.925,41.35,40.555,40.71,2143900,39.442
2015-10-06,40.29,40.875,39.895,40.52,1319000,39.258
2015-10-05,39.42,40.56,39.25,40.29,2455800,39.036
2015-10-02,38.56,39.38,37.93,38.645,2153700,37.442
2015-10-01,39.345,39.445,38.02,38.19,3015200,37.001
2015-09-30,38.825,39.00,38.305,38.71,2344900,37.505
2015-09-29,37.52,38.575,37.35,38.005,2875800,36.822
2015-09-28,38.76,38.905,38.035,38.185,2922500,36.996
2015-09-25,38.22,39.10,38.14,38.905,3255800,37.694
2015-09-24,39.155,39.285,37.155,37.595,5112800,36.424
2015-09-23,39.50,40.12,39.145,39.22,3415700,37.999
2015-09-22,41.20,41.20,39.535,39.635,2792400,38.401
2015-09-21,40.84,41.475,40.80,41.255,1210300,39.97
2015-09-18,41.485,41.605,40.41,40.85,3791500,39.578
2015-09-17,41.80,41.88,41.315,41.845,1452400,40.542
2015-09-16,41.42,41.76,41.195,41.72,1559600,40.421
2015-09-15,40.66,41.275,40.155,41.08,1650400,39.801
2015-09-14,40.815,41.155,40.32,40.39,1760400,39.132
2015-09-11,41.51,41.81,40.63,40.815,1865100,39.544
2015-09-10,41.335,41.94,41.19,41.295,1476400,40.009
2015-09-09,42.075,42.455,41.61,41.65,2102600,40.353
2015-09-08,40.815,41.62,40.78,41.09,2028600,39.811
2015-09-07,40.635,40.795,40.065,40.33,1346900,39.074
2015-09-04,40.495,40.525,39.70,39.95,2567000,38.706
2015-09-03,40.515,41.355,40.34,41.00,2357700,39.723
2015-09-02,39.985,40.43,39.50,40.15,2119800,38.90
2015-09-01,40.15,40.34,39.33,39.755,2937200,38.517
2015-08-31,40.50,41.01,40.285,40.965,1467200,39.69
2015-08-28,40.57,40.78,40.29,40.75,2160200,39.481
2015-08-27,40.42,41.01,40.26,40.63,3324900,39.365
2015-08-26,38.84,40.055,38.31,39.495,3296300,38.265
2015-08-25,38.045,39.605,37.755,39.40,3997600,38.173
2015-08-24,38.35,39.025,36.275,37.46,5544400,36.294
2015-08-21,40.00,40.655,39.55,39.665,2946300,38.43
2015-08-20,41.325,41.465,40.39,40.535,1757500,39.273
2015-08-19,42.105,42.155,41.475,41.515,1433600,40.222
2015-08-18,42.405,42.61,42.185,42.36,935800,41.041
2015-08-17,42.785,43.155,41.855,42.53,1326700,41.206
2015-08-14,42.35,42.86,42.05,42.39,1202000,41.07
2015-08-13,42.485,42.735,42.165,42.435,1639600,41.114
2015-08-12,42.98,42.98,41.55,41.665,3217400,40.368
