Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,104.30,104.75,103.65,103.65,264000,100.8766
2015-12-30,105.30,105.65,104.80,105.00,411100,102.1905
2015-12-29,104.30,105.65,104.30,105.60,451000,102.7744
2015-12-28,104.35,104.55,103.60,103.75,345200,100.9739
2015-12-25,104.00,104.00,104.00,104.00,000,101.2172
2015-12-24,104.70,104.80,103.75,104.00,96400,101.2172
2015-12-23,103.50,104.65,103.25,104.30,875600,101.5092
2015-12-22,102.75,103.15,101.35,102.00,900100,99.2708
2015-12-21,104.65,105.85,101.70,101.70,1293400,98.9788
2015-12-18,105.00,106.05,104.10,104.75,1874700,101.9472
2015-12-17,106.80,107.15,105.95,105.95,1248900,103.1151
2015-12-16,104.70,105.85,104.10,104.55,1076500,101.7525
2015-12-15,102.95,105.35,102.70,104.70,1211300,101.8985
2015-12-14,103.00,105.10,102.05,102.05,1378200,99.3194
2015-12-11,104.45,104.85,102.35,102.95,1379300,100.1953
2015-12-10,104.75,105.80,104.10,104.40,950100,101.6065
2015-12-09,106.65,107.30,104.75,104.75,1205800,101.9472
2015-12-08,106.95,107.50,105.35,105.80,956500,102.9691
2015-12-07,106.60,109.00,106.20,107.30,983100,104.429
2015-12-04,105.90,106.75,104.65,105.45,1789600,102.6284
2015-12-03,108.00,110.00,104.20,105.55,2648700,102.7258
2015-12-02,109.65,110.50,107.75,108.00,1490100,105.1102
2015-12-01,113.20,113.40,109.25,109.75,2563200,106.8134
2015-11-30,115.00,116.25,113.70,115.50,1221300,112.4095
2015-11-27,116.00,116.95,115.65,116.00,523400,112.8962
2015-11-26,116.15,117.00,115.30,116.70,700600,113.5774
2015-11-25,114.45,116.85,114.45,116.30,914400,113.1881
2015-11-24,115.55,115.75,113.25,114.15,1012600,111.0957
2015-11-23,116.20,116.35,115.30,116.10,770000,112.9935
2015-11-20,115.75,116.95,114.25,116.25,1123500,113.1395
2015-11-19,116.80,117.00,113.85,114.95,1499500,111.8743
2015-11-18,120.50,121.35,112.85,114.50,3691100,111.4363
2015-11-17,121.30,123.65,121.15,123.65,831700,120.3415
2015-11-16,118.60,120.80,118.15,120.60,825900,117.3731
2015-11-13,121.15,121.40,118.55,119.65,998200,116.4485
2015-11-12,122.55,123.20,120.60,121.20,820600,117.957
2015-11-11,121.85,123.30,121.80,122.95,664300,119.6602
2015-11-10,122.05,122.35,120.65,121.20,818400,117.957
2015-11-09,122.35,122.85,121.20,121.35,669900,118.103
2015-11-06,121.75,122.75,120.35,122.70,1257400,119.4169
2015-11-05,120.80,121.95,119.85,121.55,913200,118.2977
2015-11-04,120.80,122.00,120.30,120.95,919000,117.7137
2015-11-03,119.60,120.65,119.05,120.65,933400,117.4217
2015-11-02,116.90,119.90,116.80,119.45,904500,116.2538
2015-10-30,118.75,119.00,116.90,117.90,746000,114.7453
2015-10-29,119.35,119.50,117.30,118.35,749400,115.1833
2015-10-28,117.45,119.20,117.05,118.55,837000,115.3779
2015-10-27,116.40,118.20,116.25,117.25,1219600,114.1127
2015-10-26,115.25,117.00,114.90,116.40,848000,113.2855
2015-10-23,114.45,116.55,114.05,115.90,1113000,112.7988
2015-10-22,109.45,113.80,109.10,113.35,1149600,110.3171
2015-10-21,109.60,110.05,108.20,109.65,649200,106.7161
2015-10-20,110.00,110.20,108.30,109.00,758000,106.0835
2015-10-19,110.10,111.25,109.95,110.45,506400,107.4947
2015-10-16,110.40,110.85,109.70,110.35,915200,107.3973
2015-10-15,108.50,109.95,107.70,109.90,749900,106.9594
2015-10-14,107.80,108.40,106.90,107.30,635700,104.429
2015-10-13,109.50,109.65,107.65,108.80,771800,105.8888
2015-10-12,110.80,110.85,109.60,110.15,527800,107.2027
2015-10-09,110.65,110.85,109.85,110.45,776100,107.4947
2015-10-08,109.00,109.60,108.10,109.40,871400,106.4728
2015-10-07,109.85,110.65,108.90,109.25,894900,106.3268
2015-10-06,108.75,109.95,107.90,109.45,690300,106.5214
2015-10-05,107.85,109.15,107.35,108.70,879600,105.7915
2015-10-02,105.05,106.75,103.70,105.65,931500,102.8231
2015-10-01,106.95,107.20,103.95,104.50,1371300,101.7039
2015-09-30,105.35,106.10,104.60,105.65,1149000,102.8231
2015-09-29,100.75,103.45,100.50,103.00,1259400,100.244
