Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,25.015,25.345,25.005,25.23,939100,23.94781
2015-12-30,25.42,25.505,25.275,25.295,2624300,24.00951
2015-12-29,25.065,25.49,25.065,25.49,2677000,24.1946
2015-12-28,25.085,25.18,24.875,24.93,2201900,23.66306
2015-12-25,25.09,25.09,25.09,25.09,000,23.81493
2015-12-24,25.20,25.30,25.09,25.09,667900,23.81493
2015-12-23,25.035,25.235,24.905,25.10,4419300,23.82442
2015-12-22,25.205,25.24,24.585,24.755,4403300,23.49695
2015-12-21,25.00,25.375,24.845,24.935,5636300,23.6678
2015-12-18,24.71,25.175,24.65,24.975,12082000,23.70577
2015-12-17,25.30,25.79,25.115,25.115,9419100,23.83865
2015-12-16,24.80,24.98,24.565,24.565,7242900,23.31661
2015-12-15,24.265,24.905,24.21,24.685,8648600,23.43051
2015-12-14,24.92,25.265,24.125,24.125,8538100,22.89897
2015-12-11,25.165,25.22,24.57,24.65,8470400,23.39729
2015-12-10,25.255,25.39,24.935,25.235,6226300,23.95256
2015-12-09,25.57,25.725,25.185,25.265,5230200,23.98103
2015-12-08,25.755,25.88,25.355,25.52,7476700,24.22307
2015-12-07,25.43,25.99,25.36,25.805,7850000,24.49359
2015-12-04,25.00,25.75,24.83,25.25,13692200,23.96679
2015-12-03,25.42,26.02,24.46,24.46,13066200,23.21694
2015-12-02,25.735,25.775,25.42,25.485,4779100,24.18985
2015-12-01,25.825,25.83,25.44,25.63,4520400,24.32748
2015-11-30,25.435,25.76,25.37,25.61,4978400,24.3085
2015-11-27,25.42,25.805,25.39,25.545,3939400,24.2468
2015-11-26,25.375,25.835,25.22,25.585,5191300,24.28477
2015-11-25,24.49,25.465,24.49,25.39,7507900,24.09968
2015-11-24,24.795,24.85,24.29,24.485,4593700,23.24067
2015-11-23,24.86,25.01,24.645,24.925,3549800,23.65831
2015-11-20,24.81,24.96,24.445,24.825,5152500,23.56339
2015-11-19,25.075,25.245,24.735,24.74,5182900,23.48271
2015-11-18,24.80,24.995,24.715,24.905,3282500,23.63933
2015-11-17,24.78,24.99,24.675,24.92,5249500,23.65356
2015-11-16,24.00,24.495,23.725,24.495,4967300,23.25016
2015-11-13,24.50,24.785,24.145,24.41,5208300,23.16948
2015-11-12,25.16,25.395,24.495,24.675,6377300,23.42101
2015-11-11,24.68,25.235,24.645,25.155,6273900,23.87662
2015-11-10,24.565,24.64,24.285,24.59,4842100,23.34034
2015-11-09,24.725,24.815,24.46,24.48,4403000,23.23592
2015-11-06,24.325,24.795,24.08,24.74,8552400,23.48271
2015-11-05,24.25,24.565,24.015,24.365,6459900,23.12677
2015-11-04,24.60,24.75,24.255,24.255,6874400,23.02236
2015-11-03,24.485,24.64,24.375,24.535,4330700,23.28813
2015-11-02,24.02,24.645,24.005,24.45,5076200,23.20745
2015-10-30,24.335,24.46,24.09,24.325,4553900,23.0888
2015-10-29,24.365,24.42,24.08,24.36,6390500,23.12202
2015-10-28,23.865,24.30,23.775,24.22,6907800,22.98914
2015-10-27,24.04,24.07,23.805,23.825,7152500,22.61421
2015-10-26,24.05,24.29,23.985,24.155,5089100,22.92744
2015-10-23,24.00,24.355,23.885,24.05,9179900,22.82778
2015-10-22,22.975,24.07,22.97,23.82,10857000,22.60947
2015-10-21,23.00,23.235,22.90,23.095,5256200,21.92131
2015-10-20,22.95,23.065,22.70,22.915,6081500,21.75046
2015-10-19,22.76,23.12,22.76,22.89,3531700,21.72673
2015-10-16,22.52,22.895,22.45,22.81,5562800,21.65079
2015-10-15,22.21,22.46,22.17,22.41,4478000,21.27112
2015-10-14,22.155,22.245,21.95,22.02,6143300,20.90094
2015-10-13,22.64,22.675,22.14,22.355,5779500,21.21892
2015-10-12,22.705,22.855,22.565,22.79,3270900,21.63181
2015-10-09,22.97,23.115,22.655,22.67,5558800,21.51791
2015-10-08,22.705,22.815,22.585,22.725,4403900,21.57011
2015-10-07,22.885,23.13,22.685,22.735,6890900,21.57961
2015-10-06,22.59,22.805,22.35,22.745,6767100,21.5891
2015-10-05,21.985,22.60,21.955,22.50,8312700,21.35655
2015-10-02,21.78,22.185,21.245,21.62,7607500,20.52127
