Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,10.87,10.905,10.86,10.88,838300,10.2025
2015-12-30,10.85,10.925,10.80,10.895,3401300,10.2165
2015-12-29,10.76,10.86,10.71,10.86,2854800,10.1837
2015-12-28,10.89,10.90,10.665,10.68,3408200,10.0149
2015-12-25,10.89,10.89,10.89,10.89,000,10.2118
2015-12-24,10.85,10.90,10.83,10.89,1017300,10.2118
2015-12-23,10.745,10.90,10.71,10.845,5272800,10.1696
2015-12-22,10.53,10.715,10.51,10.625,7360500,9.9633
2015-12-21,10.50,10.575,10.375,10.375,4832000,9.7289
2015-12-18,10.56,10.74,10.495,10.57,8649500,9.9118
2015-12-17,10.685,10.785,10.605,10.65,7631400,9.9868
2015-12-16,10.50,10.545,10.30,10.475,5457000,9.8227
2015-12-15,10.205,10.485,10.15,10.435,7244600,9.7852
2015-12-14,10.29,10.425,10.095,10.12,7391700,9.4898
2015-12-11,10.415,10.46,10.17,10.23,6211900,9.5929
2015-12-10,10.525,10.665,10.315,10.44,6896500,9.7899
2015-12-09,10.695,10.78,10.485,10.575,5405200,9.9165
2015-12-08,10.96,10.99,10.565,10.66,8537700,9.9962
2015-12-07,11.135,11.185,10.94,10.965,4458800,10.2822
2015-12-04,11.095,11.22,10.995,11.095,7428000,10.4041
2015-12-03,11.255,11.495,11.065,11.15,10622800,10.4557
2015-12-02,11.42,11.515,11.19,11.305,6451900,10.601
2015-12-01,11.44,11.475,11.375,11.415,5438700,10.7042
2015-11-30,11.40,11.455,11.315,11.42,5660100,10.7088
2015-11-27,11.355,11.46,11.345,11.395,3055100,10.6854
2015-11-26,11.23,11.48,11.145,11.40,4089100,10.6901
2015-11-25,11.20,11.245,11.01,11.21,5483200,10.5119
2015-11-24,11.25,11.30,11.055,11.205,4916900,10.5072
2015-11-23,11.335,11.455,11.23,11.30,3541000,10.5963
2015-11-20,11.525,11.585,11.255,11.30,6361400,10.5963
2015-11-19,11.39,11.55,11.39,11.515,6848400,10.7979
2015-11-18,11.14,11.39,11.12,11.35,5372600,10.6432
2015-11-17,11.075,11.27,11.01,11.21,4970700,10.5119
2015-11-16,11.00,11.165,10.92,10.99,7463800,10.3056
2015-11-13,11.155,11.39,11.085,11.19,5145300,10.4932
2015-11-12,11.365,11.50,11.15,11.235,7353500,10.5354
2015-11-11,11.00,11.43,10.925,11.37,12208200,10.662
2015-11-10,11.06,11.075,10.845,10.96,5115400,10.2775
2015-11-09,11.185,11.215,10.98,11.00,6824200,10.315
2015-11-06,11.00,11.08,10.805,11.00,13891600,10.315
2015-11-05,11.55,11.565,10.685,10.795,32741300,10.1228
2015-11-04,11.80,11.93,11.72,11.77,6184200,11.037
2015-11-03,11.735,11.815,11.535,11.74,5506200,11.0089
2015-11-02,11.47,11.79,11.45,11.695,5870900,10.9667
2015-10-30,11.40,11.565,11.40,11.52,4225100,10.8026
2015-10-29,11.615,11.65,11.30,11.385,5275300,10.676
2015-10-28,11.495,11.635,11.41,11.565,4009100,10.8448
2015-10-27,11.545,11.695,11.495,11.495,4326500,10.7792
2015-10-26,11.475,11.665,11.40,11.59,6792300,10.8683
2015-10-23,11.235,11.485,11.205,11.46,9063900,10.7464
2015-10-22,11.00,11.26,10.94,11.155,5215400,10.4603
2015-10-21,11.085,11.15,10.885,11.00,3587400,10.315
2015-10-20,11.175,11.21,10.965,11.05,3485900,10.3619
2015-10-19,11.105,11.27,11.10,11.16,3738500,10.465
2015-10-16,11.05,11.15,11.00,11.095,5025000,10.4041
2015-10-15,11.035,11.08,10.92,10.96,4599100,10.2775
2015-10-14,10.91,11.095,10.855,10.935,5634200,10.254
2015-10-13,11.215,11.24,10.865,11.005,8950500,10.3197
2015-10-12,11.39,11.525,11.175,11.245,5109500,10.5447
2015-10-09,11.305,11.525,11.27,11.345,8531100,10.6385
2015-10-08,11.10,11.265,10.99,11.205,8728000,10.5072
2015-10-07,11.10,11.43,11.08,11.205,11545400,10.5072
2015-10-06,10.595,11.065,10.56,10.98,12847900,10.2962
2015-10-05,10.495,10.60,10.42,10.55,5891100,9.893
2015-10-02,10.355,10.55,10.18,10.315,6468700,9.6727
2015-10-01,10.395,10.44,10.165,10.26,6536500,9.6211
2015-09-30,10.30,10.36,10.20,10.255,6067400,9.6164
2015-09-29,10.01,10.285,9.957,10.105,7583100,9.4757
2015-09-28,10.50,10.535,10.07,10.14,8659400,9.5086
2015-09-25,10.45,10.575,10.40,10.50,7223200,9.8461
2015-09-24,10.48,10.555,10.24,10.345,9731900,9.7008
2015-09-23,10.71,10.765,10.43,10.455,9238300,9.8039
2015-09-22,11.115,11.155,10.695,10.735,8082300,10.0665
2015-09-21,10.995,11.16,10.965,11.095,4085200,10.4041
2015-09-18,11.235,11.235,10.88,11.005,10927300,10.3197
2015-09-17,11.21,11.35,11.12,11.29,8573900,10.5869
2015-09-16,11.41,11.48,11.285,11.36,5897700,10.6526
2015-09-15,11.215,11.385,11.135,11.33,7459400,10.6244
2015-09-14,11.565,11.59,11.105,11.19,9405600,10.4932
2015-09-11,11.73,11.74,11.51,11.53,4057900,10.812
2015-09-10,11.71,11.915,11.59,11.68,7158600,10.9527
2015-09-09,11.98,12.07,11.84,11.86,6340400,11.1214
2015-09-08,11.785,11.845,11.695,11.71,7519800,10.9808
2015-09-07,11.83,11.895,11.675,11.70,2951200,10.9714
2015-09-04,11.905,11.95,11.685,11.73,6871600,10.9995
2015-09-03,11.965,12.095,11.865,12.005,5790600,11.2574
2015-09-02,11.80,11.97,11.61,11.80,5201300,11.0652
2015-09-01,11.95,11.96,11.61,11.745,6949300,11.0136
2015-08-31,12.115,12.16,11.98,12.085,3579100,11.3324
2015-08-28,12.26,12.315,12.07,12.21,4776800,11.4496
2015-08-27,12.20,12.315,12.155,12.185,6582800,11.4262
2015-08-26,11.845,12.085,11.66,11.875,8643000,11.1355
2015-08-25,11.605,12.125,11.545,11.965,12199700,11.2199
2015-08-24,11.585,11.74,10.985,11.45,22859300,10.737
2015-08-21,12.05,12.325,11.94,11.94,9743800,11.1965
2015-08-20,12.71,12.795,12.21,12.25,10413000,11.4872
2015-08-19,12.845,12.955,12.74,12.74,5165800,11.9466
2015-08-18,12.88,13.04,12.86,12.90,4310700,12.0967
2015-08-17,12.795,12.99,12.76,12.88,7333700,12.0779
2015-08-14,12.77,12.885,12.55,12.615,5455600,11.8294
2015-08-13,12.80,12.93,12.70,12.75,7721600,11.956
2015-08-12,12.90,12.975,12.52,12.635,9771800,11.8482
