Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,146.00,146.15,144.75,144.90,179400,141.613
2015-12-30,147.70,148.80,146.35,147.15,424500,143.812
2015-12-29,145.80,147.75,145.45,147.75,517300,144.398
2015-12-28,146.15,146.65,144.10,144.10,285800,140.831
2015-12-25,146.05,146.05,146.05,146.05,000,142.737
2015-12-24,145.95,146.45,144.65,146.05,105100,142.737
2015-12-23,145.00,146.75,144.35,146.45,730800,143.127
2015-12-22,143.65,144.60,141.80,143.80,683900,140.538
2015-12-21,144.15,146.80,142.70,142.70,847500,139.463
2015-12-18,147.65,147.65,144.15,145.00,1925900,141.71
2015-12-17,153.40,153.50,148.90,148.90,1205400,145.522
2015-12-16,148.90,150.15,146.90,148.65,856100,145.278
2015-12-15,143.80,149.05,143.40,147.95,1556300,144.593
2015-12-14,145.60,146.90,142.10,142.20,1046700,138.974
2015-12-11,147.50,147.50,143.70,144.95,1238700,141.661
2015-12-10,147.70,148.80,146.10,148.00,967500,144.642
2015-12-09,151.10,151.65,147.65,148.85,943100,145.473
2015-12-08,154.90,154.90,149.40,150.50,1011900,147.086
2015-12-07,153.90,155.65,152.85,154.45,716700,150.946
2015-12-04,152.00,153.30,150.25,152.25,1320600,148.796
2015-12-03,158.50,161.00,151.00,151.20,1956700,147.77
2015-12-02,157.90,159.85,157.35,158.45,638800,154.855
2015-12-01,157.85,159.40,156.60,157.40,691200,153.829
2015-11-30,156.70,158.75,155.50,158.75,972700,153.829
2015-11-27,158.60,158.75,155.80,155.95,679400,151.116
2015-11-26,158.05,160.20,157.95,159.10,539700,154.168
2015-11-25,155.35,159.10,155.35,158.00,991400,153.102
2015-11-24,160.10,160.55,152.50,154.95,1818500,150.147
2015-11-23,162.50,162.55,160.20,161.90,529000,156.881
2015-11-20,163.55,163.55,161.30,162.25,791300,157.221
2015-11-19,165.00,165.65,161.70,162.40,601600,157.366
2015-11-18,164.25,164.60,162.75,163.60,561900,158.529
2015-11-17,162.00,165.95,161.35,165.40,876600,160.273
2015-11-16,157.50,161.65,156.70,160.15,1143300,155.186
2015-11-13,166.35,166.35,160.90,162.40,1034000,157.366
2015-11-12,172.00,172.30,166.45,166.95,966200,161.775
2015-11-11,169.05,173.30,168.75,171.90,654900,166.571
2015-11-10,168.75,168.85,165.90,168.40,704200,163.18
2015-11-09,169.15,169.25,166.80,167.30,613300,162.114
2015-11-06,169.00,169.70,164.55,168.75,1521300,163.519
2015-11-05,172.85,174.30,171.30,173.50,944400,168.122
2015-11-04,170.00,173.35,169.20,172.75,782500,167.395
2015-11-03,168.20,169.75,167.50,169.75,567000,164.488
2015-11-02,167.75,169.95,167.60,167.90,590900,162.695
2015-10-30,169.00,169.65,166.65,169.60,643600,164.343
2015-10-29,169.15,169.80,167.70,169.05,536200,163.81
