Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,15.47,15.525,15.40,15.485,1874100,15.063
2015-12-30,15.585,15.675,15.47,15.58,3121600,15.155
2015-12-29,15.45,15.64,15.43,15.64,3059100,15.214
2015-12-28,15.415,15.45,15.32,15.32,2433100,14.902
2015-12-25,15.355,15.355,15.355,15.355,000,14.936
2015-12-24,15.45,15.45,15.27,15.355,801900,14.936
2015-12-23,15.315,15.48,15.265,15.45,4219500,15.029
2015-12-22,15.25,15.275,14.94,15.11,5381600,14.698
2015-12-21,15.365,15.51,15.06,15.06,6240000,14.649
2015-12-18,15.45,15.575,15.34,15.385,15764200,14.966
2015-12-17,15.725,15.865,15.585,15.65,7986600,15.223
2015-12-16,15.40,15.60,15.25,15.29,6930600,14.873
2015-12-15,14.885,15.36,14.85,15.30,8731100,14.883
2015-12-14,14.955,15.21,14.745,14.745,9061900,14.343
2015-12-11,15.105,15.24,14.915,14.915,10514700,14.508
2015-12-10,15.10,15.30,15.045,15.12,6519000,14.708
2015-12-09,15.40,15.515,15.135,15.16,8237400,14.747
2015-12-08,15.65,15.795,15.35,15.395,8932100,14.975
2015-12-07,15.40,15.785,15.40,15.495,6711300,15.073
2015-12-04,15.585,15.685,15.365,15.45,11744000,14.834
2015-12-03,16.20,16.46,15.60,15.70,13945300,15.074
2015-12-02,16.13,16.31,16.05,16.185,7568600,15.54
2015-12-01,16.375,16.435,16.005,16.07,10093500,15.429
2015-11-30,16.595,16.80,16.335,16.36,9290900,15.708
2015-11-27,16.60,16.685,16.52,16.62,3188700,15.958
2015-11-26,16.36,16.66,16.355,16.66,3486500,15.996
2015-11-25,16.175,16.505,16.155,16.415,5780800,15.761
2015-11-24,16.285,16.325,15.99,16.16,7916600,15.516
2015-11-23,16.565,16.58,16.305,16.34,8231600,15.689
2015-11-20,16.845,16.85,16.505,16.54,12045300,15.881
2015-11-19,16.92,16.975,16.74,16.835,5061800,16.164
2015-11-18,16.75,16.88,16.57,16.825,6548000,16.154
2015-11-17,16.50,16.85,16.425,16.85,10210300,16.178
2015-11-16,16.115,16.38,16.02,16.36,5366700,15.708
2015-11-13,16.175,16.39,16.075,16.245,4718800,15.597
2015-11-12,16.51,16.70,16.13,16.27,8350800,15.622
2015-11-11,16.39,16.68,16.37,16.58,6241000,15.919
2015-11-10,16.26,16.47,16.185,16.40,6954600,15.746
2015-11-09,16.39,16.44,16.09,16.105,7828400,15.463
2015-11-06,16.095,16.475,16.025,16.43,9492000,15.775
2015-11-05,15.97,16.175,15.855,16.065,9362500,15.425
2015-11-04,16.00,16.395,15.985,16.00,11298000,15.362
2015-11-03,15.865,15.925,15.755,15.915,5475200,15.281
2015-11-02,15.87,16.115,15.855,15.905,6862300,15.271
2015-10-30,16.06,16.10,15.84,16.035,6419000,15.396
2015-10-29,15.935,16.065,15.84,15.97,8160800,15.333
2015-10-28,15.695,15.885,15.67,15.81,8196300,15.18
2015-10-27,16.00,16.115,15.655,15.655,11342500,15.031
2015-10-26,15.93,16.145,15.85,16.03,7792400,15.391
2015-10-23,15.60,16.14,15.57,15.93,18110700,15.295
2015-10-22,14.88,15.62,14.70,15.475,24418500,14.858
2015-10-21,14.405,14.54,14.235,14.39,8929500,13.816
2015-10-20,14.32,14.555,14.24,14.315,8431000,13.744
2015-10-19,14.07,14.335,14.055,14.275,6835900,13.706
2015-10-16,14.085,14.125,13.94,14.09,6438500,13.528
2015-10-15,13.79,14.00,13.695,14.00,6732300,13.442
2015-10-14,13.715,13.895,13.54,13.645,7740500,13.101
2015-10-13,13.955,13.975,13.65,13.835,6826900,13.284
2015-10-12,14.05,14.055,13.80,13.945,6056900,13.389
2015-10-09,13.80,14.14,13.74,14.045,10735600,13.485
2015-10-08,13.685,13.70,13.505,13.64,7479400,13.096
2015-10-07,13.98,14.025,13.675,13.76,8382600,13.212
2015-10-06,13.60,13.935,13.545,13.88,8925300,13.327
2015-10-05,13.45,13.62,13.21,13.62,9166800,13.077
2015-10-02,13.325,13.38,12.795,13.19,11076000,12.664
2015-10-01,13.72,13.74,13.135,13.195,11798300,12.669
2015-09-30,13.69,13.74,13.495,13.52,10158300,12.981
2015-09-29,13.50,13.755,13.40,13.425,11978400,12.89
2015-09-28,14.035,14.10,13.67,13.715,8367200,13.168
2015-09-25,13.75,14.195,13.72,14.135,9070400,13.572
2015-09-24,13.775,13.935,13.405,13.525,10503500,12.986
2015-09-23,13.67,13.96,13.615,13.715,7521100,13.168
2015-09-22,14.145,14.165,13.625,13.65,10531600,13.106
2015-09-21,13.945,14.23,13.89,14.135,5388300,13.572
2015-09-18,14.245,14.36,13.935,13.975,18204400,13.418
2015-09-17,14.25,14.31,14.08,14.305,6291100,13.735
2015-09-16,14.09,14.265,14.075,14.23,8720100,13.663
2015-09-15,13.735,13.925,13.615,13.825,5691600,13.274
2015-09-14,13.78,13.89,13.695,13.785,7022700,13.236
2015-09-11,14.19,14.205,13.745,13.795,11567400,13.245
2015-09-10,14.28,14.56,14.21,14.255,8964700,13.687
