Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,42.87,42.94,42.48,42.57,467000,40.2479
2015-12-30,43.27,43.325,42.645,42.785,1792300,40.4512
2015-12-29,42.91,43.62,42.91,43.375,1556900,41.009
2015-12-28,43.43,43.48,42.635,42.745,1043700,40.4133
2015-12-25,43.265,43.265,43.265,43.265,000,40.905
2015-12-24,43.38,43.54,43.12,43.265,229800,40.905
2015-12-23,43.15,43.54,43.04,43.35,2381500,40.9853
2015-12-22,43.00,43.175,42.32,42.585,2009200,40.2621
2015-12-21,42.85,43.565,42.60,42.67,2854600,40.3424
2015-12-18,42.77,43.50,42.605,42.915,7218300,40.5741
2015-12-17,43.165,43.925,42.88,43.19,5092900,40.8341
2015-12-16,41.88,42.305,41.16,42.19,4110900,39.8886
2015-12-15,40.565,41.835,40.475,41.555,4120600,39.2883
2015-12-14,40.75,41.51,40.09,40.145,3992100,37.9552
2015-12-11,41.49,41.66,40.29,40.685,4179500,38.4657
2015-12-10,41.605,42.27,41.25,41.69,2930700,39.4159
2015-12-09,42.07,42.60,41.27,41.80,3601500,39.5199
2015-12-08,43.39,43.39,41.76,42.035,4283100,39.7421
2015-12-07,43.965,44.29,43.165,43.39,2661400,41.0232
2015-12-04,43.75,44.15,43.10,43.71,3771000,41.3257
2015-12-03,45.00,45.87,43.56,43.94,5652300,41.5432
2015-12-02,45.53,45.735,44.85,45.125,2206400,42.6635
2015-12-01,45.48,45.705,45.135,45.305,2840900,42.8337
2015-11-30,44.86,45.60,44.74,45.18,2903500,42.7155
2015-11-27,44.425,45.175,44.26,44.81,1730100,42.3657
2015-11-26,43.50,44.975,43.425,44.53,2859600,42.101
2015-11-25,43.47,43.895,43.055,43.56,2682200,41.1839
2015-11-24,43.675,44.06,42.92,43.495,3283000,41.1224
2015-11-23,43.965,44.34,43.665,43.99,2121400,41.5904
2015-11-20,44.95,45.04,43.74,44.025,3383700,41.6235
2015-11-19,44.65,45.34,44.575,44.785,3235900,42.3421
2015-11-18,44.135,44.535,44.01,44.345,2314600,41.9261
2015-11-17,43.745,44.455,43.585,44.23,3161900,41.8173
2015-11-16,43.11,43.87,43.095,43.41,2423800,41.0421
2015-11-13,43.80,44.47,43.28,43.86,2553800,41.4675
2015-11-12,44.885,44.97,43.98,44.05,2896100,41.6472
2015-11-11,44.70,45.275,44.545,44.95,1800200,42.4981
2015-11-10,45.26,45.37,44.205,44.82,2785400,42.3752
2015-11-09,45.50,45.90,44.885,44.95,2426500,42.4981
2015-11-06,44.26,45.90,44.26,45.405,5238000,42.9283
2015-11-05,44.50,45.41,44.02,44.145,7575100,41.737
2015-11-04,42.60,43.065,42.41,42.46,3342100,40.1439
2015-11-03,42.795,42.92,42.065,42.51,2703900,40.1912
2015-11-02,41.94,43.065,41.93,42.725,2489600,40.3944
2015-10-30,42.025,42.555,41.90,42.31,3144200,40.0021
2015-10-29,43.90,43.92,41.63,41.985,5457100,39.6948
2015-10-28,43.235,43.83,43.045,43.575,2388000,41.1981
2015-10-27,43.185,43.605,43.025,43.05,2148800,40.7017
2015-10-26,43.25,43.70,42.975,43.325,2256700,40.9617
2015-10-23,42.725,43.73,42.62,43.30,4382900,40.9381
2015-10-22,41.11,42.77,41.11,42.415,4220400,40.1014
2015-10-21,41.54,41.745,40.79,41.38,2134400,39.1228
2015-10-20,41.85,42.005,41.075,41.435,2185900,39.1748
2015-10-19,42.125,42.50,41.52,41.845,2513000,39.5624
2015-10-16,41.64,42.155,41.42,42.055,3372600,39.761
2015-10-15,41.19,41.465,41.115,41.255,2462500,39.0046
2015-10-14,40.725,41.365,40.525,40.86,2572600,38.6312
2015-10-13,41.31,41.385,40.37,41.035,3088300,38.7966
2015-10-12,42.045,42.275,41.295,41.50,2545900,39.2363
2015-10-09,41.84,42.375,41.60,41.895,3008900,39.6097
2015-10-08,41.60,41.83,41.11,41.325,3608000,39.0708
2015-10-07,41.855,42.595,41.385,41.87,3616600,39.5861
2015-10-06,41.125,41.565,40.65,41.31,3276100,39.0566
2015-10-05,40.435,41.25,40.225,41.095,4211000,38.8534
2015-10-02,40.00,40.74,39.13,39.625,4297200,37.4635
2015-10-01,40.48,40.495,39.32,39.635,3627400,37.473
2015-09-30,39.65,40.20,39.41,39.85,5291100,37.6763
2015-09-29,37.50,38.99,37.25,38.735,6364600,36.6221
2015-09-28,39.55,39.705,37.89,38.095,5258700,36.017
2015-09-25,39.335,40.08,39.255,39.705,4521800,37.5392
2015-09-24,38.74,39.61,38.17,38.65,5908300,36.5417
