Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,40.89,41.695,40.89,41.265,1603000,38.41563
2015-12-30,42.085,42.255,41.44,41.565,3715400,38.69492
2015-12-29,41.615,42.29,41.53,42.14,4200700,39.23021
2015-12-28,42.15,42.195,41.19,41.38,3147600,38.52269
2015-12-25,42.105,42.105,42.105,42.105,000,39.19763
2015-12-24,42.40,42.45,41.91,42.105,1132000,39.19763
2015-12-23,41.235,42.20,41.085,42.115,8170500,39.20694
2015-12-22,40.70,41.05,40.44,40.815,6345500,37.9967
2015-12-21,41.095,41.91,40.725,40.725,8194100,37.91292
2015-12-18,41.37,42.35,41.345,42.01,14561000,38.54131
2015-12-17,43.00,43.025,41.765,41.90,8814200,38.4404
2015-12-16,42.43,42.80,41.935,42.075,7557100,38.60095
2015-12-15,41.12,42.53,41.085,42.285,9987200,38.7936
2015-12-14,41.735,42.30,40.565,40.58,11536800,37.22939
2015-12-11,42.715,42.91,41.57,41.80,8523600,38.34865
2015-12-10,42.72,43.625,42.605,43.08,7648600,39.52296
2015-12-09,42.60,43.78,42.035,42.825,8579600,39.28902
2015-12-08,42.505,43.00,41.63,42.43,10704600,38.92663
2015-12-07,43.355,43.555,42.52,42.84,9021800,39.30278
2015-12-04,44.15,45.085,43.125,43.455,12401100,39.867
2015-12-03,46.30,47.16,44.465,44.465,15093600,40.79361
2015-12-02,46.515,47.40,46.515,46.65,6642800,42.7982
2015-12-01,46.885,47.15,46.615,46.79,6446600,42.92664
2015-11-30,46.01,47.295,45.935,47.00,7587100,43.1193
2015-11-27,46.525,47.14,46.47,46.62,5184900,42.77067
2015-11-26,46.00,47.25,45.90,47.03,5331100,43.14682
2015-11-25,46.13,46.75,45.96,46.35,5699200,42.52296
2015-11-24,45.385,46.195,45.15,46.085,6100700,42.27985
2015-11-23,45.795,46.15,45.205,45.765,6338200,41.98627
2015-11-20,46.44,46.89,46.12,46.255,7070600,42.43581
2015-11-19,46.99,47.23,46.225,46.60,5982300,42.75232
2015-11-18,45.96,46.97,45.855,46.66,5567600,42.80737
2015-11-17,45.60,46.465,45.365,46.455,7124700,42.6193
2015-11-16,44.185,45.455,44.125,44.775,5249400,41.07801
2015-11-13,44.60,45.30,43.815,44.435,5776600,40.76608
2015-11-12,45.865,46.175,44.87,44.935,6456800,41.2248
2015-11-11,46.04,46.525,45.695,46.04,3835100,42.23856
2015-11-10,46.145,46.40,45.685,46.015,4348600,42.21563
2015-11-09,46.18,46.92,45.92,45.92,4312600,42.12847
2015-11-06,46.215,46.62,45.90,46.235,5579500,42.41746
2015-11-05,46.215,46.475,45.58,46.13,5601700,42.32113
2015-11-04,46.37,47.16,46.14,46.295,7931300,42.4725
2015-11-03,44.755,46.24,44.31,46.24,8457000,42.42205
2015-11-02,43.72,44.755,43.66,44.62,5501500,40.93581
2015-10-30,44.615,44.745,43.70,44.145,6929100,40.50003
2015-10-29,45.00,45.18,43.33,44.33,7715400,40.66975
2015-10-28,43.925,44.69,43.435,44.01,8010300,40.37617
