Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,59.06,59.54,59.02,59.14,180100,57.41923
2015-12-30,59.29,59.67,59.00,59.48,627200,57.74934
2015-12-29,58.94,59.67,58.94,59.50,706100,57.76876
2015-12-28,59.20,59.23,58.40,58.46,487000,56.75902
2015-12-25,59.28,59.28,59.28,59.28,000,57.55516
2015-12-24,59.24,59.28,58.97,59.28,181100,57.55516
2015-12-23,58.70,59.16,58.68,59.03,1028000,57.31243
2015-12-22,58.35,58.58,57.46,58.03,977400,56.34153
2015-12-21,58.32,59.13,57.90,57.90,1292900,56.21531
2015-12-18,58.42,58.60,57.98,58.40,5627900,56.70076
2015-12-17,58.97,59.46,58.77,59.16,2867300,57.43865
2015-12-16,58.02,58.19,57.68,57.94,1934700,56.25414
2015-12-15,57.77,58.05,57.49,57.68,2419000,56.00171
2015-12-14,57.86,58.42,57.11,57.16,1414900,55.49684
2015-12-11,58.38,58.48,57.25,57.63,1642900,55.95317
2015-12-10,59.31,59.35,58.47,58.60,1347500,56.89494
2015-12-09,60.05,60.35,59.30,59.41,1258600,57.68137
2015-12-08,60.29,60.61,59.42,59.71,1968700,57.97264
2015-12-07,59.57,60.46,59.35,60.21,1521700,58.4581
2015-12-04,58.68,59.34,58.28,59.04,2190800,57.32214
2015-12-03,60.99,61.74,58.58,58.94,2448100,57.22505
2015-12-02,61.10,61.37,60.74,60.99,1391600,59.2154
2015-12-01,61.79,61.94,60.54,60.86,1750700,59.08918
2015-11-30,61.91,62.04,61.52,61.56,1923000,59.76882
2015-11-27,61.62,62.29,61.50,62.11,838700,60.30281
2015-11-26,61.05,62.02,60.86,61.91,941000,60.10863
2015-11-25,60.60,61.60,60.43,61.20,1391400,59.41929
2015-11-24,61.02,61.02,60.00,60.50,1376300,58.73966
2015-11-23,61.53,61.74,60.73,61.22,1178600,59.43871
2015-11-20,62.28,62.37,61.26,61.49,1773300,59.70086
2015-11-19,62.12,62.52,61.90,62.06,1823700,60.25427
2015-11-18,61.43,61.96,61.05,61.75,1260000,59.95329
2015-11-17,60.32,61.86,60.20,61.83,2277500,60.03096
2015-11-16,59.53,60.31,59.21,59.53,2175900,57.79788
2015-11-13,59.81,60.13,59.17,59.91,1270200,58.16683
2015-11-12,60.85,61.12,59.91,59.93,1229200,58.18624
2015-11-11,60.83,61.74,60.70,61.07,1040300,59.29307
2015-11-10,61.54,61.56,59.58,60.61,2253100,58.84646
2015-11-09,61.91,62.51,61.69,61.83,1768700,59.47755
2015-11-06,60.96,62.60,60.93,62.22,1820500,59.85271
2015-11-05,60.24,61.36,59.99,60.83,1651800,58.51559
2015-11-04,61.50,61.63,59.84,60.04,1952700,57.75565
2015-11-03,61.35,61.62,60.95,61.31,1275100,58.97733
2015-11-02,60.55,61.98,60.46,61.48,1231300,59.14086
2015-10-30,61.09,61.59,60.78,61.38,1560800,59.04467
2015-10-29,60.70,61.08,60.00,61.08,1447300,58.75608
2015-10-28,59.99,60.84,59.73,60.53,1086100,58.22701
2015-10-27,60.10,60.30,59.74,59.96,1201900,57.67869
2015-10-26,59.87,60.41,59.62,60.38,1370700,58.08272
2015-10-23,59.33,60.64,59.25,60.12,4162300,57.83261
2015-10-22,58.23,58.95,57.69,58.78,1956400,56.54359
2015-10-21,58.30,58.58,57.94,58.27,1509100,56.05299
2015-10-20,57.70,58.38,57.68,57.95,1259200,55.74517
2015-10-19,58.00,58.51,57.59,57.69,1254000,55.49506
2015-10-16,58.14,58.42,57.90,58.24,1839300,56.02414
2015-10-15,57.80,58.14,57.17,57.85,1185300,55.64897
2015-10-14,56.92,57.76,56.47,57.32,1532200,55.13914
2015-10-13,56.05,57.35,55.80,57.28,1909700,55.10066
2015-10-12,56.95,56.99,55.94,56.36,1338800,54.21566
2015-10-09,58.28,58.40,56.77,56.94,2012100,54.77359
2015-10-08,57.81,58.03,57.48,57.92,1654300,55.71631
2015-10-07,58.31,58.52,57.88,58.01,1843700,55.80288
2015-10-06,58.06,58.45,57.55,58.20,2736500,55.98566
2015-10-05,57.37,59.00,57.35,58.77,2111800,56.53397
2015-10-02,57.04,57.27,55.70,56.45,1984000,54.30224
2015-10-01,57.66,57.66,56.10,56.47,1751500,54.32148
2015-09-30,57.24,57.33,56.62,56.71,2614400,54.55235
2015-09-29,56.23,57.00,56.00,56.18,1981500,54.04251
2015-09-28,57.64,58.04,56.65,57.02,1899000,54.85055
2015-09-25,56.69,58.10,56.54,57.71,1982200,55.5143
2015-09-24,56.87,57.09,55.38,55.82,3074100,53.69621
2015-09-23,57.73,58.27,57.23,57.46,1560500,55.27381
2015-09-22,59.09,59.09,57.10,57.52,1826200,55.33153
2015-09-21,58.00,59.21,58.00,59.03,1181800,56.78408
2015-09-18,58.77,58.94,57.70,58.15,3851400,55.93756
2015-09-17,58.84,59.28,58.41,59.24,1359000,56.98609
2015-09-16,58.41,58.78,58.04,58.68,1445800,56.44739
2015-09-15,57.35,58.30,57.29,58.00,1439200,55.79327
2015-09-14,58.00,58.30,57.32,57.32,1351900,55.13914
2015-09-11,59.22,59.23,57.84,58.00,1708500,55.79327
2015-09-10,58.41,59.57,58.37,58.96,2098800,56.71674
2015-09-09,59.00,59.68,58.74,58.99,1826900,56.7456
2015-09-08,57.50,58.41,57.41,57.74,1728000,55.54316
2015-09-07,57.24,57.50,56.60,56.92,1193400,54.75436
2015-09-04,56.60,57.19,56.36,56.94,2278100,54.77359
2015-09-03,56.90,57.77,56.65,57.20,1678000,55.0237
2015-09-02,56.75,56.98,55.93,56.43,1504600,54.283
2015-09-01,56.61,56.80,55.57,56.30,1883200,54.15795
2015-08-31,57.01,57.53,56.55,57.41,1288600,55.22571
2015-08-28,57.06,57.37,56.72,57.34,1391400,55.15838
2015-08-27,56.31,57.66,56.03,57.12,2897900,54.94675
2015-08-26,53.76,55.81,53.01,54.96,3365300,52.86893
2015-08-25,53.55,54.67,53.32,54.29,4090300,52.22442
2015-08-24,54.20,55.08,51.11,52.90,5757200,50.88731
2015-08-21,56.07,57.09,55.94,56.18,2911400,54.04251
2015-08-20,57.62,58.00,56.64,57.00,1938700,54.83131
2015-08-19,57.98,58.28,57.52,57.80,1215400,55.60087
2015-08-18,58.22,58.75,58.00,58.31,1036300,56.09147
2015-08-17,58.49,59.03,57.65,58.30,1270200,56.08185
2015-08-14,58.48,59.17,58.04,58.23,1165400,56.01451
